"match_id","balls_per_over","team1","team2","gender","season","date","event","match_number","venue","city","toss_winner","toss_decision","umpire1","umpire2","reserve_umpire","winner","winner_wickets","player_of_match","winner_runs","tv_umpire","match_referee","method","outcome"
1286912,6,"United States of America","Zimbabwe","female","2021/22",2021-11-25,"ICC Women's Cricket World Cup Qualifier","9","Takashinga Sports Club, Highfield, Harare","Harare","Zimbabwe","field","Shiju Sam","VG Rathi","Rashid Riaz","Zimbabwe",1,"L Tshuma",NA,NA,"ET Dube",NA,NA
1286916,6,"United States of America","Thailand","female","2021/22",2021-11-27,"ICC Women's Cricket World Cup Qualifier","10","Old Hararians, Harare","Harare","United States of America","bat","F Mutizwa","VG Rathi","C Phiri","Thailand",9,"N Boochatham",NA,NA,"ET Dube",NA,NA
NA,6,"Trinidad and Tobago","Leeward Islands","female","2022",2022-06-17,"CG United Women's Super50",NA,"Guyana National Stadium, Providence",NA,"Leeward Islands","bat","R Banwarie","Imran Moakan",NA,"Trinidad and Tobago",8,NA,NA,NA,NA,NA,NA
NA,6,"Jamaica","Barbados","female","2022",2022-06-18,"CG United Women's Super50",NA,"Guyana National Stadium, Providence",NA,"Barbados","bat","LN Rajkumar","N Shivsankar",NA,"Barbados",NA,NA,11,NA,NA,"D/L",NA
NA,6,"Jamaica","Windward Islands","female","2022",2022-06-20,"CG United Women's Super50",NA,"Guyana National Stadium, Providence",NA,"Jamaica","field","R Banwarie","N Duguid",NA,"Jamaica",8,NA,NA,NA,NA,"D/L",NA
NA,6,"Guyana","Leeward Islands","female","2022",2022-06-21,"CG United Women's Super50",NA,"Guyana National Stadium, Providence",NA,"Leeward Islands","bat","S Crawford","N Shivsankar",NA,"Guyana",8,NA,NA,NA,NA,NA,NA
NA,6,"Barbados","Trinidad and Tobago","female","2022",2022-06-22,"CG United Women's Super50",NA,"Guyana National Stadium, Providence",NA,"Trinidad and Tobago","bat","N Duguid","JM Williams",NA,"Barbados",9,NA,NA,NA,NA,"D/L",NA
NA,6,"Guyana","Jamaica","female","2022",2022-06-23,"CG United Women's Super50",NA,"Guyana National Stadium, Providence",NA,"Jamaica","field","S Crawford","LN Rajkumar",NA,"Jamaica",8,NA,NA,NA,NA,NA,NA
NA,6,"Windward Islands","Leeward Islands","female","2022",2022-06-24,"CG United Women's Super50",NA,"Guyana National Stadium, Providence",NA,"Windward Islands","bat","R Banwarie","Imran Moakan",NA,"Windward Islands",NA,NA,151,NA,NA,NA,NA
NA,6,"Barbados","Jamaica","female","2022",2022-06-25,"CG United Women's Super50",NA,"Guyana National Stadium, Providence",NA,"Jamaica","bat","S Crawford","JM Williams",NA,"Barbados",8,NA,NA,NA,NA,"D/L",NA
1297927,6,"South East Stars","Sunrisers","female","2022",2022-07-02,"Rachael Heyhoe Flint Trophy",NA,"Kent County Cricket Ground, Beckenham","Beckenham","South East Stars","bat","G Bambury","Mark Newell",NA,"South East Stars",NA,NA,80,NA,"AJ Swann",NA,NA
1297928,6,"Western Storm","Lightning","female","2022",2022-07-02,"Rachael Heyhoe Flint Trophy",NA,"Haslegrave Ground, Loughborough","Loughborough","Lightning","field","J Naeem","Naeem Ashraf",NA,"Western Storm",NA,NA,75,NA,"WR Smith","D/L",NA
1297929,6,"Central Sparks","Southern Vipers","female","2022",2022-07-02,"Rachael Heyhoe Flint Trophy",NA,"Edgbaston Foundation Community Sports Ground, Birmingham","Birmingham","Southern Vipers","field","J Ibbotson","Tom Lungley",NA,"Southern Vipers",7,NA,NA,NA,"H Pack","D/L",NA
1297930,6,"Thunder","Northern Diamonds","female","2022",2022-07-03,"Rachael Heyhoe Flint Trophy",NA,"Rookwood, Sale","Sale","Thunder","bat","AY Harris","Hassan Adnan",NA,"Northern Diamonds",6,NA,NA,NA,"H Pack",NA,NA
1297931,6,"Central Sparks","Western Storm","female","2022",2022-07-09,"Rachael Heyhoe Flint Trophy",NA,"County Ground, Bristol","Bristol","Central Sparks","bat","JD Shantry","S McLelland",NA,"Central Sparks",NA,NA,22,NA,"H Pack",NA,NA
1297932,6,"Northern Diamonds","Sunrisers","female","2022",2022-07-09,"Rachael Heyhoe Flint Trophy",NA,"Headingley, Leeds","Leeds","Northern Diamonds","bat","Hassan Adnan","J Naeem",NA,"Northern Diamonds",NA,NA,6,NA,"JJ Whitaker",NA,NA
1297933,6,"Thunder","Lightning","female","2022",2022-07-09,"Rachael Heyhoe Flint Trophy",NA,"Haslegrave Ground, Loughborough","Loughborough","Thunder","bat","J Ibbotson","Surendiran Shanmugam",NA,"Lightning",5,NA,NA,NA,"AM Smith",NA,NA
1297934,6,"Southern Vipers","South East Stars","female","2022",2022-07-09,"Rachael Heyhoe Flint Trophy",NA,"County Ground, Hove","Brighton","South East Stars","field","AC Harris","SM Bartlett",NA,"Southern Vipers",NA,NA,133,NA,"AJ Swann",NA,NA
